id,cost,LB,f_hat,num_coll,cost-to-go,h_hat,parent
139002917538880,3275,3277,3284.6774192049947,150,324,9.677419204994798,139002918334784
139002918285504,3287,3280,3296.1249998602734,146,312,9.124999860273437,139002917538880
139002918125120,3287,3280,3295.7272725950415,144,312,8.727272595041324,139002918285504
139002917670592,3287,3280,3295.2285713086694,144,312,8.228571308669387,139002918125120
139002917976640,3287,3287,3295.1714284500245,143,312,8.171428450024488,139002917670592
139002916402496,3287,3287,3294.888888772747,142,312,7.888888772746911,139002917976640
139002918330560,3287,3292,3294.6756755636525,142,312,7.6756755636523,139002916402496
139002916828288,3287,3303,3294.6216215083273,141,312,7.6216215083272445,139002918330560
139002915637312,3289,3296,3296.3684209440444,140,310,7.36842094404432,139002916828288
139002915335168,3289,3287,3303.3589741491123,140,310,14.358974149112424,139002915637312
139002917812544,3289,3288,3303.256410044392,139,310,14.256410044391847,139002915335168
139002916271616,3289,3289,3302.79999979645,138,310,13.799999796449999,139002917812544
139002916154240,3289,3288,3302.3658534629385,137,310,13.365853462938725,139002916271616
139002914305408,3289,3288,3301.952380764263,136,310,12.952380764263038,139002916154240
139002917249792,3289,3288,3301.5581393538127,135,310,12.558139353812873,139002914305408
139002916989184,3290,3288,3302.272727097004,135,309,12.272727097004134,139002917249792
139002913563008,3290,3292,3305.227272505785,134,309,15.227272505785125,139002916989184
139002913935488,3290,3293,3304.777777564321,133,309,14.777777564320992,139002913563008
139002915722624,3290,3295,3304.3478258810965,132,309,14.34782588109641,139002913935488
139002914746880,3290,3296,3303.8297870368947,130,309,13.829787036894523,139002915722624
139002913690240,3295,3299,3308.2653059383592,130,304,13.26530593835902,139002914746880
139002914249984,3295,3299,3308.723404053848,129,304,13.723404053847897,139002913690240
139002914194112,3295,3299,3308.2291664737413,127,304,13.22916647374132,139002914249984
139002913898880,3295,3304,3307.4999998225,125,304,12.499999822500001,139002914194112
139002913849728,3309,3313,3320.9230767579884,124,290,11.923076757988166,139002913898880
139002916054016,3323,3318,3334.9607841425222,122,276,11.960784142522106,139002913849728
139002912245440,3323,3325,3334.9607841401767,122,276,11.960784140176855,139002916054016
139002913117824,3323,3339,3334.666666495098,119,276,11.66666649509804,139002912245440
139002910536064,3323,3350,3333.833333180864,117,276,10.8333331808642,139002913117824
139002910616960,3351,3371,3361.357142714732,116,248,10.357142714732143,139002910536064
139002909440704,3351,3371,3361.1785712867986,114,248,10.17857128679847,139002910616960
139002910430656,3351,3378,3360.7413791776607,113,248,9.741379177660525,139002909440704
139002911761984,3351,3381,3360.49152529503,112,248,9.491525295030163,139002910430656
139002913764096,3351,3389,3360.1666665429166,110,248,9.166666542916667,139002911761984
139002911611392,3351,3382,3359.790322464386,109,248,8.790322464386056,139002913764096
